"solute1" "solute2" "solute3" 
0.689132 0.693879 0.248543 
0.733620 0.327110 0.733105 
0.662585 0.685313 0.821514 
0.638044 0.303379 0.671384 
0.662615 0.679453 0.253436 
0.709087 0.719768 0.827963 
0.285114 0.331994 0.332744 
0.730960 0.278788 0.247709 
0.668029 0.666957 0.772749 
0.204477 0.349762 0.372877 
0.379732 0.701448 0.354295 
0.741085 0.234954 0.301669 
0.238066 0.225934 0.339988 
0.611937 0.706404 0.849739 
0.697174 0.717662 0.221774 
0.654888 0.655175 0.230554 
0.689194 0.303238 0.846691 
0.170409 0.290629 0.297730 
0.768682 0.740749 0.753909 
0.586370 0.808243 0.766254 
0.716254 0.197269 0.866860 
0.268227 0.341740 0.336856 
0.706097 0.683781 0.330232 
0.559007 0.662022 0.386916 
0.670769 0.690739 0.734829 
0.183342 0.263600 0.342606 
0.695485 0.288435 0.292663 
0.755938 0.300547 0.743503 
0.590817 0.689788 0.732705 
0.647816 0.793827 0.315319 
0.232937 0.216220 0.319055 
0.227403 0.739472 0.445735 
0.673413 0.657352 0.861280 
0.709799 0.384937 0.217781 
0.298011 0.285937 0.427780 
0.239813 0.301776 0.229433 
0.663530 0.735845 0.269614 
0.776416 0.308775 0.761973 
0.604597 0.671886 0.705723 
0.704076 0.335675 0.230584 
0.296889 0.312276 0.418286 
0.218486 0.746151 0.342632 
0.758110 0.670564 0.853324 
0.609143 0.309059 0.395878 
0.672448 0.673043 0.839973 
0.793352 0.670195 0.325724 
0.318359 0.340868 0.299065 
0.673866 0.297469 0.369230 
0.398847 0.602648 0.281670 
0.246495 0.191242 0.363599 
0.710894 0.702431 0.690855 
0.653858 0.607669 0.238532 
0.656416 0.316533 0.264519 
0.299159 0.301445 0.385945 
0.691068 0.744955 0.749695 
0.600724 0.739525 0.250356 
0.662473 0.666406 0.760278 
0.207545 0.252197 0.343914 
0.678322 0.303208 0.625698 
0.626871 0.591214 0.381179 
0.760189 0.744493 0.288397 
0.213006 0.278347 0.280512 
0.725774 0.709271 0.301114 
