"Rc/Ra" "d37Cl" "d81Br" 
0.739666 0.745826 0.643470 
0.623119 0.244225 0.242385 
0.742945 0.741925 0.717170 
0.641554 0.268446 0.136726 
0.160217 0.494589 0.555803 
0.661768 0.248795 0.197409 
0.179195 0.444880 0.487606 
0.675529 0.748167 0.688232 
0.691071 0.783559 0.644851 
0.662258 0.287588 0.150940 
0.125240 0.445114 0.543996 
0.121942 0.409585 0.529126 
0.643164 0.221691 0.279601 
0.693871 0.768969 0.638926 
0.599754 0.284442 0.131460 
0.152730 0.457048 0.535674 
0.741908 0.731148 0.672433 
0.702469 0.735743 0.194460 
0.174915 0.442668 0.508636 
0.653652 0.270439 0.663675 
0.709393 0.722708 0.523047 
0.600160 0.307672 0.174403 
0.140905 0.476524 0.581203 
0.674548 0.356177 0.695651 
0.765639 0.725741 0.676033 
0.569592 0.255581 0.177730 
0.149173 0.519319 0.583797 
0.147067 0.436632 0.591039 
0.632334 0.289991 0.164833 
0.705706 0.727042 0.638902 
0.711987 0.701615 0.651102 
0.599173 0.210871 0.151794 
0.137623 0.528571 0.561139 
0.605293 0.214686 0.203779 
0.750897 0.739809 0.701391 
0.139645 0.534364 0.496346 
0.664711 0.290878 0.161640 
0.177062 0.448510 0.526097 
0.676042 0.700977 0.634418 
0.142057 0.468066 0.561234 
0.764273 0.742643 0.708030 
0.624130 0.235111 0.243138 
0.733886 0.781455 0.642969 
0.609459 0.205745 0.124134 
0.160344 0.491648 0.548359 
0.708159 0.715665 0.668007 
0.640876 0.258626 0.178683 
0.162736 0.470392 0.565844 
0.163209 0.554711 0.516012 
0.610576 0.232023 0.231880 
0.710172 0.694025 0.635808 
0.726932 0.767664 0.668912 
0.606907 0.231004 0.225771 
0.129001 0.505254 0.532264 
0.596137 0.212198 0.126400 
0.731239 0.751046 0.646934 
0.149974 0.496164 0.577469 
0.122825 0.486120 0.529769 
0.711545 0.719248 0.672613 
0.612281 0.232775 0.250707 
0.630091 0.224613 0.153927 
0.728874 0.783800 0.715511 
0.194707 0.492462 0.568185 
0.638093 0.229709 0.125999 
0.711460 0.729555 0.695671 
0.182546 0.508455 0.522707 
0.721295 0.701625 0.660715 
0.149325 0.501488 0.517081 
0.616054 0.279993 0.201872 
0.643846 0.242351 0.191796 
0.123906 0.429523 0.522022 
0.731333 0.738498 0.652174 
0.756090 0.758282 0.697598 
0.612806 0.254644 0.244956 
0.154944 0.487861 0.525302 
0.760128 0.732952 0.707470 
0.597037 0.222095 0.145089 
0.148939 0.539318 0.535984 
0.641834 0.271517 0.260136 
0.756844 0.742153 0.707908 
0.191300 0.471821 0.501178 
0.161369 0.569491 0.507311 
0.602593 0.216367 0.169930 
0.717326 0.726054 0.663853 
0.622253 0.275298 0.171274 
0.747831 0.768388 0.703215 
0.213526 0.466298 0.508723 
0.136677 0.425867 0.498853 
0.747765 0.756608 0.678294 
0.647175 0.256008 0.219296 
0.146182 0.567982 0.566927 
